scenario,forecast_basis,horizon,metric,field,unit,draws,seed,mean,median,p05,p10,p25,p75,p90,p95,probability_zero,evidence_status
central,conditional,five_year_cumulative,skilled_work_hours,space_governance,hours,200000,69520260814,4.91155230642,0.0908645076485,0,0,0,1.54754198166,8.79683306725,20.6976229041,0.363945,especially_prior_driven_appendix_only
central,conditional,five_year_cumulative,skilled_work_hours,global_health,hours,200000,69520260814,17.2895347399,0.322528666991,0,0,0,5.5245948709,31.0208353948,73.0283452893,0.364165,especially_prior_driven_appendix_only
central,conditional,five_year_cumulative,skilled_work_hours,strategic_reasoning,hours,200000,69520260814,11.4156385439,0.211009999064,0,0,0,3.60837695723,20.3026521032,48.3307733135,0.364205,especially_prior_driven_appendix_only
central,conditional,five_year_cumulative,skilled_work_hours,environmental_protection,hours,200000,69520260814,21.6947919057,0.407073813601,0,0,0,6.90769903693,38.6203710319,91.4022404642,0.363435,especially_prior_driven_appendix_only
central,conditional,eoy5_annualized_run_rate,cause_directed_cash,factory_farming_reduction,USD,200000,69520260814,66231.8197227,38435.1914978,2425.41266508,5111.43153079,14676.3371973,87521.9111481,162609.887246,224621.562056,0.000355,especially_prior_driven_appendix_only
central,conditional,eoy5_annualized_run_rate,cause_directed_cash,wild_animal_suffering,USD,200000,69520260814,12957.8162735,7524.68736575,493.546797182,1018.76158932,2876.11803666,16974.4803445,31675.6035825,43860.208087,0.000375,especially_prior_driven_appendix_only
central,conditional,eoy5_annualized_run_rate,cause_directed_cash,residual_existential_risk_prevention,USD,200000,69520260814,41600.1327005,24434.9985655,1581.0533166,3320.32383749,9387.58644047,54926.9372435,101678.849245,140365.046765,0.00039,especially_prior_driven_appendix_only
central,conditional,eoy5_annualized_run_rate,cause_directed_cash,preventing_extreme_power_concentration,USD,200000,69520260814,58433.3955225,34288.7139097,1915.68222596,4389.44770551,12869.63131,77574.0674911,143366.098148,197692.012345,0.000305,especially_prior_driven_appendix_only
central,conditional,eoy5_annualized_run_rate,cause_directed_cash,biorisk_prevention,USD,200000,69520260814,30092.2223277,17561.2030362,1096.61892273,2325.94562703,6682.20730292,39621.307155,73644.3294207,101724.237772,0.00027,especially_prior_driven_appendix_only
central,conditional,eoy5_annualized_run_rate,cause_directed_cash,space_governance,USD,200000,69520260814,15598.5920387,9066.55471003,589.107672952,1230.84657506,3482.09595729,20428.4912033,38160.1096254,52871.1624178,0.000275,especially_prior_driven_appendix_only
central,conditional,eoy5_annualized_run_rate,cause_directed_cash,global_health,USD,200000,69520260814,88074.622011,51862.5391973,3039.22932705,6722.5732214,19698.6837784,117299.113065,216450.547579,296860.539181,0.000355,especially_prior_driven_appendix_only
central,conditional,eoy5_annualized_run_rate,cause_directed_cash,strategic_reasoning,USD,200000,69520260814,21439.9567468,12412.600252,849.546303983,1733.38269357,4798.78372194,28048.9086481,52316.6566687,72417.4469601,0.00028,especially_prior_driven_appendix_only
central,conditional,eoy5_annualized_run_rate,cause_directed_cash,environmental_protection,USD,200000,69520260814,72628.7885408,42322.3838417,2507.06361701,5494.65686845,16027.0176757,96045.8017602,178531.218198,246426.53774,0.000345,especially_prior_driven_appendix_only
central,conditional,eoy5_annualized_run_rate,ordinary_action_hours,factory_farming_reduction,hours,200000,69520260814,60.9095619521,1.50559346462,0,0,0,23.2789530069,119.982978126,270.444536344,0.36392,especially_prior_driven_appendix_only
central,conditional,eoy5_annualized_run_rate,ordinary_action_hours,wild_animal_suffering,hours,200000,69520260814,6.70006317731,0.160376487746,0,0,0,2.52151182459,13.097888838,29.4199772957,0.363995,especially_prior_driven_appendix_only
central,conditional,eoy5_annualized_run_rate,ordinary_action_hours,residual_existential_risk_prevention,hours,200000,69520260814,16.5878603029,0.401834630368,0,0,0,6.24489472596,32.3806014812,73.1626210067,0.36347,especially_prior_driven_appendix_only
central,conditional,eoy5_annualized_run_rate,ordinary_action_hours,preventing_extreme_power_concentration,hours,200000,69520260814,10.0393656418,0.239183988219,0,0,0,3.75227236756,19.5560695486,44.0445003061,0.363795,especially_prior_driven_appendix_only
central,conditional,eoy5_annualized_run_rate,ordinary_action_hours,biorisk_prevention,hours,200000,69520260814,11.1890991087,0.266841994898,0,0,0,4.17155168066,21.5088547598,48.8660792552,0.36373,especially_prior_driven_appendix_only
central,conditional,eoy5_annualized_run_rate,ordinary_action_hours,space_governance,hours,200000,69520260814,5.78750773578,0.138807410872,0,0,0,2.16144785491,11.196320438,25.3435890164,0.363865,especially_prior_driven_appendix_only
central,conditional,eoy5_annualized_run_rate,ordinary_action_hours,global_health,hours,200000,69520260814,24.8356505735,0.606693019115,0,0,0,9.40729575652,48.7840693686,109.632823213,0.363825,especially_prior_driven_appendix_only
central,conditional,eoy5_annualized_run_rate,ordinary_action_hours,strategic_reasoning,hours,200000,69520260814,15.3242514428,0.367404797182,0,0,0,5.79444922424,29.9048889326,67.9254881295,0.364115,especially_prior_driven_appendix_only
central,conditional,eoy5_annualized_run_rate,ordinary_action_hours,environmental_protection,hours,200000,69520260814,38.2407957079,0.938252721207,0,0,0,14.6015553767,74.9343779184,168.171864313,0.363915,especially_prior_driven_appendix_only
central,conditional,eoy5_annualized_run_rate,skilled_work_hours,factory_farming_reduction,hours,200000,69520260814,13.5171981102,0.254350488736,0,0,0,4.32568390129,24.1704562148,56.9410408622,0.36438,especially_prior_driven_appendix_only
central,conditional,eoy5_annualized_run_rate,skilled_work_hours,wild_animal_suffering,hours,200000,69520260814,2.07901810995,0.0386587173052,0,0,0,0.655277118374,3.69495297088,8.74322380855,0.36348,especially_prior_driven_appendix_only
central,conditional,eoy5_annualized_run_rate,skilled_work_hours,residual_existential_risk_prevention,hours,200000,69520260814,5.17765142039,0.0966116301298,0,0,0,1.64571950993,9.24826135464,21.6392409181,0.36372,especially_prior_driven_appendix_only
central,conditional,eoy5_annualized_run_rate,skilled_work_hours,preventing_extreme_power_concentration,hours,200000,69520260814,3.10996936004,0.0577182011466,0,0,0,0.990061286833,5.56663129418,13.0829766321,0.363965,especially_prior_driven_appendix_only
central,conditional,eoy5_annualized_run_rate,skilled_work_hours,biorisk_prevention,hours,200000,69520260814,3.79879117765,0.0704198971598,0,0,0,1.19945411588,6.76109771354,15.8914109307,0.363685,especially_prior_driven_appendix_only
central,conditional,eoy5_annualized_run_rate,skilled_work_hours,space_governance,hours,200000,69520260814,1.9324140222,0.0357499702223,0,0,0,0.608868976392,3.46104907564,8.14332704424,0.363945,especially_prior_driven_appendix_only
central,conditional,eoy5_annualized_run_rate,skilled_work_hours,global_health,hours,200000,69520260814,6.80243989768,0.126896524718,0,0,0,2.17361109675,12.2049188439,28.7324637204,0.364165,especially_prior_driven_appendix_only
central,conditional,eoy5_annualized_run_rate,skilled_work_hours,strategic_reasoning,hours,200000,69520260814,4.49139877138,0.0830203275006,0,0,0,1.41968929465,7.98792869634,19.0153862217,0.364205,especially_prior_driven_appendix_only
central,conditional,eoy5_annualized_run_rate,skilled_work_hours,environmental_protection,hours,200000,69520260814,8.53565583173,0.160160188958,0,0,0,2.71778322764,15.1949000781,35.9615372318,0.363435,especially_prior_driven_appendix_only
central,probability_weighted,year_1,cause_directed_cash,factory_farming_reduction,USD,200000,69530260833,3226.78077353,797.945496064,0,0,38.5782553779,3663.81511724,9375.80856484,14737.18733,0.181385,especially_prior_driven_appendix_only
central,probability_weighted,year_1,cause_directed_cash,wild_animal_suffering,USD,200000,69530260833,640.989100391,159.55870148,0,0,7.85526234301,731.171465209,1862.15884199,2894.31423963,0.181435,especially_prior_driven_appendix_only
central,probability_weighted,year_1,cause_directed_cash,residual_existential_risk_prevention,USD,200000,69530260833,2066.55248765,522.674737549,0,0,26.0324479029,2363.12325661,6007.05719892,9371.19731752,0.18142,especially_prior_driven_appendix_only
central,probability_weighted,year_1,cause_directed_cash,preventing_extreme_power_concentration,USD,200000,69530260833,2830.74782316,689.828628525,0,0,30.4929089375,3204.2379734,8239.8306642,12895.9485234,0.181455,especially_prior_driven_appendix_only
central,probability_weighted,year_1,cause_directed_cash,biorisk_prevention,USD,200000,69530260833,1482.47221676,369.418443543,0,0,17.7557404552,1688.37492545,4306.52165919,6735.82801231,0.181435,especially_prior_driven_appendix_only
central,probability_weighted,year_1,cause_directed_cash,space_governance,USD,200000,69530260833,770.987551735,192.038413586,0,0,9.41555193246,877.845903434,2235.45689356,3495.13781234,0.18138,especially_prior_driven_appendix_only
central,probability_weighted,year_1,cause_directed_cash,global_health,USD,200000,69530260833,4276.5879524,1050.07139646,0,0,47.5464092689,4895.89153657,12474.2575217,19546.4697287,0.18142,especially_prior_driven_appendix_only
central,probability_weighted,year_1,cause_directed_cash,strategic_reasoning,USD,200000,69530260833,1066.74672969,267.559600408,0,0,13.5429308326,1216.51497981,3097.74331242,4846.80236402,0.18144,especially_prior_driven_appendix_only
central,probability_weighted,year_1,cause_directed_cash,environmental_protection,USD,200000,69530260833,3515.65663895,855.377802025,0,0,39.566049346,3980.92981686,10259.4808234,16098.9729435,0.18145,especially_prior_driven_appendix_only
central,probability_weighted,year_1,ordinary_action_hours,factory_farming_reduction,hours,200000,69530260833,2.82601913184,0.000710743287376,0,0,0,0.428376381631,3.95609979426,10.9774297177,0.477925,especially_prior_driven_appendix_only
central,probability_weighted,year_1,ordinary_action_hours,wild_animal_suffering,hours,200000,69530260833,0.310699500854,7.45431462935e-05,0,0,0,0.0459617292026,0.426067423984,1.18588332932,0.47822,especially_prior_driven_appendix_only
central,probability_weighted,year_1,ordinary_action_hours,residual_existential_risk_prevention,hours,200000,69530260833,0.778004568496,0.000191346543692,0,0,0,0.115285703184,1.07018077663,2.96824169736,0.47802,especially_prior_driven_appendix_only
central,probability_weighted,year_1,ordinary_action_hours,preventing_extreme_power_concentration,hours,200000,69530260833,0.466774487772,0.000112906530831,0,0,0,0.069296988124,0.638405588632,1.78939830819,0.47809,especially_prior_driven_appendix_only
central,probability_weighted,year_1,ordinary_action_hours,biorisk_prevention,hours,200000,69530260833,0.522200614599,0.00013197225905,0,0,0,0.0771933616632,0.720895803709,1.9759874818,0.477715,especially_prior_driven_appendix_only
central,probability_weighted,year_1,ordinary_action_hours,space_governance,hours,200000,69530260833,0.268250972068,6.59978272361e-05,0,0,0,0.0399911920447,0.369452522467,1.03085753393,0.47803,especially_prior_driven_appendix_only
central,probability_weighted,year_1,ordinary_action_hours,global_health,hours,200000,69530260833,1.16357481443,0.000279930697616,0,0,0,0.172743035343,1.60967302026,4.46593051969,0.478555,especially_prior_driven_appendix_only
central,probability_weighted,year_1,ordinary_action_hours,strategic_reasoning,hours,200000,69530260833,0.713983062345,0.000172535231882,0,0,0,0.107214403373,0.993156761209,2.7339631869,0.478305,especially_prior_driven_appendix_only
central,probability_weighted,year_1,ordinary_action_hours,environmental_protection,hours,200000,69530260833,1.79378622234,0.000456264040481,0,0,0,0.268561517888,2.49950057109,6.88075011061,0.47781,especially_prior_driven_appendix_only
