scenario,forecast_basis,diagnostic,unit,draws,seed,mean,median,p05,p10,p25,p75,p90,p95,evidence_status
direct_trade_underperformance,conditional,redirect_cash_latent_credit,causal_credit,200000,69520660826,0.232515502043,0.232515502043,0.232515502043,0.232515502043,0.232515502043,0.232515502043,0.232515502043,0.232515502043,prior_driven_structural_diagnostic_not_empirical
direct_trade_underperformance,probability_weighted,dac_cash_latent_credit,causal_credit,200000,69530660845,0.324166060531,0.324166060531,0.324166060531,0.324166060531,0.324166060531,0.324166060531,0.324166060531,0.324166060531,prior_driven_structural_diagnostic_not_empirical
direct_trade_underperformance,probability_weighted,direct_accepted_price_usd_per_hour,USD_per_hour,200000,69530660845,34.092054994,21.8096404201,0,0,0,48.2145012077,85.2851381467,117.705061203,prior_driven_structural_diagnostic_not_empirical
direct_trade_underperformance,probability_weighted,direct_cash_latent_credit,causal_credit,200000,69530660845,0.334729665661,0.334729665661,0.334729665661,0.334729665661,0.334729665661,0.334729665661,0.334729665661,0.334729665661,prior_driven_structural_diagnostic_not_empirical
direct_trade_underperformance,probability_weighted,direct_labor_latent_credit,causal_credit,200000,69530660845,0.39648411138,0.39648411138,0.39648411138,0.39648411138,0.39648411138,0.39648411138,0.39648411138,0.39648411138,prior_driven_structural_diagnostic_not_empirical
direct_trade_underperformance,probability_weighted,direct_payer_wtp_usd_per_hour,USD_per_hour,200000,69530660845,61.3207238146,38.9567487405,8.2284854334,11.611360434,20.5905641099,73.811783437,131.763800566,186.401166318,prior_driven_structural_diagnostic_not_empirical
direct_trade_underperformance,probability_weighted,direct_price_compatible,indicator,200000,69530660845,0.656235,1,0,0,0,1,1,1,prior_driven_structural_diagnostic_not_empirical
direct_trade_underperformance,probability_weighted,direct_price_overlap,proportion,200000,69530660845,0.302976014316,0.315762925866,0,0,0,0.523505682753,0.667449519351,0.732563248047,prior_driven_structural_diagnostic_not_empirical
direct_trade_underperformance,probability_weighted,direct_supplier_wta_usd_per_hour,USD_per_hour,200000,69530660845,40.364805074,29.5932982761,8.2000986575,10.8596798476,17.4333139953,50.2105120384,80.9462500453,108.020937728,prior_driven_structural_diagnostic_not_empirical
direct_trade_underperformance,probability_weighted,redirect_cash_latent_credit,causal_credit,200000,69530660845,0.232515502043,0.232515502043,0.232515502043,0.232515502043,0.232515502043,0.232515502043,0.232515502043,0.232515502043,prior_driven_structural_diagnostic_not_empirical
strong_network_repeat,conditional,dac_cash_latent_credit,causal_credit,200000,69520760829,0.324166060531,0.324166060531,0.324166060531,0.324166060531,0.324166060531,0.324166060531,0.324166060531,0.324166060531,prior_driven_structural_diagnostic_not_empirical
strong_network_repeat,conditional,direct_accepted_price_usd_per_hour,USD_per_hour,200000,69520760829,34.0318811359,21.7410120695,0,0,0,48.2214262082,85.240989413,117.108295522,prior_driven_structural_diagnostic_not_empirical
strong_network_repeat,conditional,direct_cash_latent_credit,causal_credit,200000,69520760829,0.334729665661,0.334729665661,0.334729665661,0.334729665661,0.334729665661,0.334729665661,0.334729665661,0.334729665661,prior_driven_structural_diagnostic_not_empirical
strong_network_repeat,conditional,direct_labor_latent_credit,causal_credit,200000,69520760829,0.39648411138,0.39648411138,0.39648411138,0.39648411138,0.39648411138,0.39648411138,0.39648411138,0.39648411138,prior_driven_structural_diagnostic_not_empirical
strong_network_repeat,conditional,direct_payer_wtp_usd_per_hour,USD_per_hour,200000,69520760829,61.0893398273,38.9356040719,8.2458307286,11.6128761311,20.5937324068,73.7750960633,131.189944015,185.69000994,prior_driven_structural_diagnostic_not_empirical
strong_network_repeat,conditional,direct_price_compatible,indicator,200000,69520760829,0.656715,1,0,0,0,1,1,1,prior_driven_structural_diagnostic_not_empirical
strong_network_repeat,conditional,direct_price_overlap,proportion,200000,69520760829,0.303081212209,0.316024797704,0,0,0,0.522773721909,0.667217719096,0.733812471085,prior_driven_structural_diagnostic_not_empirical
strong_network_repeat,conditional,direct_supplier_wta_usd_per_hour,USD_per_hour,200000,69520760829,40.2170725287,29.5375531672,8.17835393622,10.8337285216,17.3886978893,50.2172185721,80.7065219976,107.469815308,prior_driven_structural_diagnostic_not_empirical
strong_network_repeat,conditional,redirect_cash_latent_credit,causal_credit,200000,69520760829,0.232515502043,0.232515502043,0.232515502043,0.232515502043,0.232515502043,0.232515502043,0.232515502043,0.232515502043,prior_driven_structural_diagnostic_not_empirical
