scenario,forecast_basis,horizon,metric,unit,draws,seed,mean,median,p05,p10,p25,p75,p90,p95,probability_zero,probability_zero_or_negative,probability_negligible,probability_gt_100k,probability_gt_500k,probability_gt_1m,probability_gt_5m,evidence_status
central,conditional,year_1,dac_reserve_cash,USD_reserve_state,200000,69520260814,1762.22785514,2027.23509118,532.063401592,590.97757449,1092.77823321,2373.53688835,2467.58671297,2488.08959027,0,0,0,0,0,0,0,prior_driven_synthetic_not_empirical
central,conditional,year_1,dac_free_reserve,USD_reserve_state,200000,69520260814,1762.22785514,2027.23509118,532.063401592,590.97757449,1092.77823321,2373.53688835,2467.58671297,2488.08959027,0,0,0,0,0,0,0,prior_driven_synthetic_not_empirical
central,conditional,year_1,dac_capacity_waiting_pledges,USD_pledge_principal,200000,69520260814,13367.8650688,0,0,0,0,0,50320.9244827,89629.6323191,0.760295,0.760295,0.760295,0.04146,0,0,0,prior_driven_synthetic_not_empirical
central,conditional,year_1,dac_pledge_principal,USD,200000,69520260814,19690.7827242,12744.1989867,440.061051604,940.543707171,3296.72372702,41918.175721,44937.1294923,47980.9815822,0,0,0,0,0,0,0,prior_driven_synthetic_not_empirical
central,conditional,year_1,dac_returned_or_cancelled_principal,USD,200000,69520260814,17392.6001288,11130.553053,385.685297211,841.337975487,2962.54160976,34645.6710342,40733.1888155,43590.6027211,0.00078,0.00072,0.00078,0,0,0,0,prior_driven_synthetic_not_empirical
central,conditional,year_1,dac_incremental_funding_caused_by_bonus,USD,200000,69520260814,28.2731430148,0.289238050834,0,0,0,9.45747564814,53.5386527917,131.28287379,0.441135,0.441135,0.441135,0,0,0,0,prior_driven_synthetic_not_empirical
central,conditional,year_1,dac_funding_lost_to_surcharge,USD,200000,69520260814,3828.36291075,181.868860021,1.0871977241,3.20106777254,21.6609578556,1732.45603043,8032.00238108,18727.6093716,0,0,0,0.00422,0,0,0,prior_driven_synthetic_not_empirical
central,conditional,year_5_annual,gross_planned_principal,USD,200000,69520260814,1756648.59441,1613400.15676,533814.886466,695396.676551,1058107.94009,2318029.29253,3029735.20474,3460582.86177,0,0,0,0.99992,0.958175,0.776,0.001455,prior_driven_synthetic_not_empirical
central,conditional,year_5_annual,redirect_cleared_principal,USD,200000,69520260814,322524.59059,201024.904901,17161.1918933,31423.4136593,80217.3194967,436516.970534,780142.498491,1050704.07846,0,0,0,0.699045,0.20958,0.0569,0,prior_driven_synthetic_not_empirical
central,conditional,year_5_annual,redirect_settled_principal,USD,200000,69520260814,310688.651053,192990.430501,16378.8334859,30063.9322758,76814.9605568,419945.215448,751775.203822,1014027.01177,0,0,0,0.68872,0.19913,0.051935,0,prior_driven_synthetic_not_empirical
central,conditional,year_5_annual,redirect_matcher_addon_cash,USD,200000,69520260814,36533.0579676,17286.8767875,935.551741549,1867.12902517,5687.30771553,45362.6073005,94715.9760441,138915.639408,0,0,0,0.09159,0.00033,0,0,prior_driven_synthetic_not_empirical
central,conditional,year_5_annual,redirect_payment_settlement_loss,USD,200000,69520260814,13173.7145687,5175.68298807,302.80138778,597.940386233,1735.82860333,14182.6658164,32487.8716705,51662.0120655,0,0,0,0.0138,8e-05,5e-06,0,prior_driven_synthetic_not_empirical
central,conditional,year_5_annual,new_cash,USD,200000,69520260814,39700.547646,16220.05304,1014.2215847,1909.67119093,5405.00322494,44274.9823465,100684.28634,157442.773433,0,0,0,0.101045,0.002865,0.00012,0,prior_driven_synthetic_not_empirical
central,conditional,year_5_annual,rescued_cash,USD,200000,69520260814,260317.311433,160632.454322,13577.3962149,24860.8825873,63617.7275361,350806.427268,630225.715039,851732.676148,0,0,0,0.639775,0.152065,0.03134,0,prior_driven_synthetic_not_empirical
central,conditional,year_5_annual,within_high_impact_reallocation,USD,200000,69520260814,50371.3396198,23800.0766146,1613.62480027,3088.27978022,8457.51332406,60080.1303269,126875.724596,189594.261523,0,0,0,0.14029,0.003655,8e-05,0,prior_driven_synthetic_not_empirical
central,conditional,year_5_annual,cause_directed_cash,USD,200000,69520260814,393991.939354,242612.882825,23355.708276,40565.2930957,98702.7697913,526196.582727,948961.354116,1285982.99307,0,0,0,0.746935,0.2652,0.089975,1.5e-05,prior_driven_synthetic_not_empirical
central,conditional,year_5_annual,personal_income_transfers,USD,200000,69520260814,26078.7264266,8079.46471708,231.064019576,544.182211756,2097.69627343,26753.4953104,67748.5628067,112706.237925,0,0,0,0.05984,0.001185,1.5e-05,0,prior_driven_synthetic_not_empirical
central,conditional,year_5_annual,donation_displacement,USD,200000,69520260814,10022.5885819,3680.48048529,231.034771622,428.659343637,1212.37574254,10415.3927703,24894.3072759,40423.0704818,0,0,0,0.008535,1.5e-05,0,0,prior_driven_synthetic_not_empirical
central,conditional,year_5_annual,timing_only_shifts,USD,200000,69520260814,2700.93227974,697.343641225,0,0,102.841567052,2598.68314214,7045.45765516,11895.3481883,0.16095,0.16095,0.16095,0.00024,0,0,0,prior_driven_synthetic_not_empirical
central,conditional,year_5_annual,unmatched_fallback_cash,USD,200000,69520260814,1434124.00382,1313303.99655,448538.926373,581348.374761,870409.579218,1876949.58928,2461638.05594,2831426.23358,0,0,0,0.99989,0.932605,0.67613,6e-05,prior_driven_synthetic_not_empirical
central,conditional,year_5_annual,processor_fees,USD,200000,69520260814,12306.4480164,7026.24405286,632.441423554,1113.31892985,2754.02932669,15814.9811918,30030.9274565,42213.3597031,0,0,0,0.002735,0,0,0,prior_driven_synthetic_not_empirical
central,conditional,year_5_annual,refund_losses,USD,200000,69520260814,880.469477087,178.618837689,7.00689232663,14.4315148519,47.773896425,643.056978521,1944.75212755,3658.41411241,0,0,0,7e-05,0,0,0,prior_driven_synthetic_not_empirical
central,conditional,year_5_annual,chargeback_losses,USD,200000,69520260814,491.386928102,89.1434173458,3.24784307825,6.73150445916,23.0634920501,333.325599093,1038.02875957,2004.30336647,0,0,0,1.5e-05,0,0,0,prior_driven_synthetic_not_empirical
central,conditional,year_5_annual,failed_settlement_losses,USD,200000,69520260814,13658.6333345,5469.82035557,337.765986565,653.4695947,1856.11311816,14797.3433785,33725.1620747,53298.6326434,0,0,0,0.01455,9e-05,5e-06,0,prior_driven_synthetic_not_empirical
central,conditional,year_5_annual,bonus_transfer_fees,USD,200000,69520260814,11.0105760451,4.23951526097,0.596890487872,0.899462351026,1.91025704432,10.1671672006,22.1535648855,38.9231559668,0.000565,0.000465,0.000565,0,0,0,0,prior_driven_synthetic_not_empirical
central,conditional,year_5_annual,cloud_costs,USD,200000,69520260814,15143.7226348,14115.2770004,5567.33898973,6929.53823352,9658.45064467,19990.6117115,25197.8431123,27784.1963813,0,0,0,0,0,0,0,prior_driven_synthetic_not_empirical
central,conditional,year_5_annual,api_costs,USD,200000,69520260814,15140.3191788,14160.866555,5544.92123136,6902.70951169,9662.14102826,19981.9779847,25133.7202271,27749.0866882,0,0,0,0,0,0,0,prior_driven_synthetic_not_empirical
central,conditional,year_5_annual,support_cash_costs,USD,200000,69520260814,32985.1201495,30326.7490174,10335.3086789,13176.4262356,19261.2290509,44827.1692912,57510.2580688,63989.8662829,0,0,0,0,0,0,0,prior_driven_synthetic_not_empirical
central,conditional,year_5_annual,review_cash_costs,USD,200000,69520260814,23839.658643,21995.1495768,8023.51981053,9942.46577763,14151.2501356,32111.9233212,41076.6994682,45704.0905988,0,0,0,0,0,0,0,prior_driven_synthetic_not_empirical
central,conditional,year_5_annual,legal_cash_costs,USD,200000,69520260814,16282.1338272,14883.9053684,4493.71447534,5892.95952157,9032.88084965,22467.256234,29241.6618031,32718.7938305,0,0,0,0,0,0,0,prior_driven_synthetic_not_empirical
central,conditional,year_5_annual,security_cash_costs,USD,200000,69520260814,16261.377988,14862.3137695,4477.53764955,5874.67101636,9003.94596086,22435.1452388,29222.1184051,32652.5207691,0,0,0,0,0,0,0,prior_driven_synthetic_not_empirical
