scenario,forecast_basis,draws,seed,invariant,observed_max,tolerance,passed
trust_evidence_failure,probability_weighted,200000,69530460839,max_direct_payment_over_demand,0,1e-07,True
trust_evidence_failure,probability_weighted,200000,69530460839,max_direct_payment_reconciliation_error,1.45519152284e-11,1e-07,True
trust_evidence_failure,probability_weighted,200000,69530460839,max_displacement_over_new_cash,0,1e-07,True
trust_evidence_failure,probability_weighted,200000,69530460839,max_field_cash_reconciliation_error,1.86264514923e-09,1e-05,True
trust_evidence_failure,probability_weighted,200000,69530460839,max_field_ordinary_reconciliation_error,1.81898940355e-12,1e-05,True
trust_evidence_failure,probability_weighted,200000,69530460839,max_field_skilled_reconciliation_error,9.09494701773e-13,1e-05,True
trust_evidence_failure,probability_weighted,200000,69530460839,max_net_cash_reconciliation_error,8.73114913702e-10,1e-07,True
trust_evidence_failure,probability_weighted,200000,69530460839,max_redirect_classification_reconciliation_error,2.32830643654e-10,1e-07,True
trust_evidence_failure,probability_weighted,200000,69530460839,max_redirect_principal_reconciliation_error,0,1e-07,True
trust_evidence_failure,probability_weighted,200000,69530460839,max_redirect_settlement_reconciliation_error,3.49245965481e-10,1e-07,True
redirect_dominant,conditional,200000,69520560823,max_cash_budget_overage,-226.588168603,1e-07,True
redirect_dominant,conditional,200000,69520560823,max_dac_accepted_over_willing_pledge,0,1e-07,True
redirect_dominant,conditional,200000,69520560823,max_dac_funding_over_accepted_principal,1.16415321827e-10,1e-07,True
redirect_dominant,conditional,200000,69520560823,max_dac_liability_over_reserve,7.27595761418e-12,1e-07,True
redirect_dominant,conditional,200000,69520560823,max_dac_liability_settlement_error,1.45519152284e-11,1e-07,True
redirect_dominant,conditional,200000,69520560823,max_dac_principal_reconciliation_error,1.16415321827e-10,1e-07,True
redirect_dominant,conditional,200000,69520560823,max_dac_reserve_reconciliation_error,2.91038304567e-11,1e-07,True
redirect_dominant,conditional,200000,69520560823,max_dac_threshold_reconciliation_error,0,1e-07,True
redirect_dominant,conditional,200000,69520560823,max_dac_waiting_reconciliation_error,0,1e-07,True
redirect_dominant,conditional,200000,69520560823,max_direct_accepted_price_above_wtp,0,1e-07,True
redirect_dominant,conditional,200000,69520560823,max_direct_accepted_price_below_wta,0,1e-07,True
redirect_dominant,conditional,200000,69520560823,max_direct_completion_over_match,0,1e-07,True
redirect_dominant,conditional,200000,69520560823,max_direct_match_over_supply,-70.7931763749,1e-07,True
redirect_dominant,conditional,200000,69520560823,max_direct_match_without_price_compatibility,0,1e-07,True
redirect_dominant,conditional,200000,69520560823,max_direct_offered_over_time_budget,-152208.312643,1e-07,True
redirect_dominant,conditional,200000,69520560823,max_direct_payment_over_demand,-120.712695205,1e-07,True
redirect_dominant,conditional,200000,69520560823,max_direct_payment_reconciliation_error,5.82076609135e-11,1e-07,True
redirect_dominant,conditional,200000,69520560823,max_displacement_over_new_cash,-0.018384143242,1e-07,True
redirect_dominant,conditional,200000,69520560823,max_field_cash_reconciliation_error,7.45058059692e-09,1e-05,True
redirect_dominant,conditional,200000,69520560823,max_field_ordinary_reconciliation_error,1.45519152284e-11,1e-05,True
redirect_dominant,conditional,200000,69520560823,max_field_skilled_reconciliation_error,3.63797880709e-12,1e-05,True
redirect_dominant,conditional,200000,69520560823,max_net_cash_reconciliation_error,3.84170562029e-09,1e-07,True
redirect_dominant,conditional,200000,69520560823,max_redirect_classification_reconciliation_error,1.86264514923e-09,1e-07,True
redirect_dominant,conditional,200000,69520560823,max_redirect_principal_reconciliation_error,0,1e-07,True
redirect_dominant,conditional,200000,69520560823,max_redirect_settlement_reconciliation_error,1.39698386192e-09,1e-07,True
redirect_dominant,probability_weighted,200000,69530560842,max_cash_budget_overage,0,1e-07,True
redirect_dominant,probability_weighted,200000,69530560842,max_dac_accepted_over_willing_pledge,0,1e-07,True
redirect_dominant,probability_weighted,200000,69530560842,max_dac_funding_over_accepted_principal,1.16415321827e-10,1e-07,True
redirect_dominant,probability_weighted,200000,69530560842,max_dac_liability_over_reserve,7.27595761418e-12,1e-07,True
redirect_dominant,probability_weighted,200000,69530560842,max_dac_liability_settlement_error,7.27595761418e-12,1e-07,True
redirect_dominant,probability_weighted,200000,69530560842,max_dac_principal_reconciliation_error,1.16415321827e-10,1e-07,True
redirect_dominant,probability_weighted,200000,69530560842,max_dac_reserve_reconciliation_error,2.91038304567e-11,1e-07,True
redirect_dominant,probability_weighted,200000,69530560842,max_dac_threshold_reconciliation_error,0,1e-07,True
redirect_dominant,probability_weighted,200000,69530560842,max_dac_waiting_reconciliation_error,0,1e-07,True
redirect_dominant,probability_weighted,200000,69530560842,max_direct_accepted_price_above_wtp,0,1e-07,True
redirect_dominant,probability_weighted,200000,69530560842,max_direct_accepted_price_below_wta,0,1e-07,True
redirect_dominant,probability_weighted,200000,69530560842,max_direct_completion_over_match,0,1e-07,True
redirect_dominant,probability_weighted,200000,69530560842,max_direct_match_over_supply,0,1e-07,True
redirect_dominant,probability_weighted,200000,69530560842,max_direct_match_without_price_compatibility,0,1e-07,True
redirect_dominant,probability_weighted,200000,69530560842,max_direct_offered_over_time_budget,0,1e-07,True
redirect_dominant,probability_weighted,200000,69530560842,max_direct_payment_over_demand,0,1e-07,True
redirect_dominant,probability_weighted,200000,69530560842,max_direct_payment_reconciliation_error,2.91038304567e-11,1e-07,True
redirect_dominant,probability_weighted,200000,69530560842,max_displacement_over_new_cash,0,1e-07,True
redirect_dominant,probability_weighted,200000,69530560842,max_field_cash_reconciliation_error,7.45058059692e-09,1e-05,True
redirect_dominant,probability_weighted,200000,69530560842,max_field_ordinary_reconciliation_error,7.27595761418e-12,1e-05,True
redirect_dominant,probability_weighted,200000,69530560842,max_field_skilled_reconciliation_error,3.63797880709e-12,1e-05,True
redirect_dominant,probability_weighted,200000,69530560842,max_net_cash_reconciliation_error,3.95812094212e-09,1e-07,True
redirect_dominant,probability_weighted,200000,69530560842,max_redirect_classification_reconciliation_error,9.31322574615e-10,1e-07,True
redirect_dominant,probability_weighted,200000,69530560842,max_redirect_principal_reconciliation_error,0,1e-07,True
redirect_dominant,probability_weighted,200000,69530560842,max_redirect_settlement_reconciliation_error,1.39698386192e-09,1e-07,True
direct_trade_underperformance,conditional,200000,69520660826,max_cash_budget_overage,-145.099225518,1e-07,True
direct_trade_underperformance,conditional,200000,69520660826,max_dac_accepted_over_willing_pledge,0,1e-07,True
direct_trade_underperformance,conditional,200000,69520660826,max_dac_funding_over_accepted_principal,2.32830643654e-10,1e-07,True
direct_trade_underperformance,conditional,200000,69520660826,max_dac_liability_over_reserve,7.27595761418e-12,1e-07,True
direct_trade_underperformance,conditional,200000,69520660826,max_dac_liability_settlement_error,1.45519152284e-11,1e-07,True
direct_trade_underperformance,conditional,200000,69520660826,max_dac_principal_reconciliation_error,2.18278728426e-10,1e-07,True
direct_trade_underperformance,conditional,200000,69520660826,max_dac_reserve_reconciliation_error,2.91038304567e-11,1e-07,True
direct_trade_underperformance,conditional,200000,69520660826,max_dac_threshold_reconciliation_error,0,1e-07,True
direct_trade_underperformance,conditional,200000,69520660826,max_dac_waiting_reconciliation_error,0,1e-07,True
direct_trade_underperformance,conditional,200000,69520660826,max_direct_accepted_price_above_wtp,0,1e-07,True
direct_trade_underperformance,conditional,200000,69520660826,max_direct_accepted_price_below_wta,0,1e-07,True
direct_trade_underperformance,conditional,200000,69520660826,max_direct_completion_over_match,0,1e-07,True
direct_trade_underperformance,conditional,200000,69520660826,max_direct_match_over_supply,-53.0513621572,1e-07,True
direct_trade_underperformance,conditional,200000,69520660826,max_direct_match_without_price_compatibility,0,1e-07,True
direct_trade_underperformance,conditional,200000,69520660826,max_direct_offered_over_time_budget,-140844.081331,1e-07,True
direct_trade_underperformance,conditional,200000,69520660826,max_direct_payment_over_demand,-91.2708789155,1e-07,True
direct_trade_underperformance,conditional,200000,69520660826,max_direct_payment_reconciliation_error,1.45519152284e-11,1e-07,True
direct_trade_underperformance,conditional,200000,69520660826,max_displacement_over_new_cash,-0.0275815725392,1e-07,True
direct_trade_underperformance,conditional,200000,69520660826,max_field_cash_reconciliation_error,3.72529029846e-09,1e-05,True
direct_trade_underperformance,conditional,200000,69520660826,max_field_ordinary_reconciliation_error,7.27595761418e-12,1e-05,True
direct_trade_underperformance,conditional,200000,69520660826,max_field_skilled_reconciliation_error,1.81898940355e-12,1e-05,True
direct_trade_underperformance,conditional,200000,69520660826,max_net_cash_reconciliation_error,2.27009877563e-09,1e-07,True
direct_trade_underperformance,conditional,200000,69520660826,max_redirect_classification_reconciliation_error,9.31322574615e-10,1e-07,True
direct_trade_underperformance,conditional,200000,69520660826,max_redirect_principal_reconciliation_error,0,1e-07,True
direct_trade_underperformance,conditional,200000,69520660826,max_redirect_settlement_reconciliation_error,9.31322574615e-10,1e-07,True
direct_trade_underperformance,probability_weighted,200000,69530660845,max_cash_budget_overage,0,1e-07,True
direct_trade_underperformance,probability_weighted,200000,69530660845,max_dac_accepted_over_willing_pledge,0,1e-07,True
direct_trade_underperformance,probability_weighted,200000,69530660845,max_dac_funding_over_accepted_principal,5.82076609135e-11,1e-07,True
direct_trade_underperformance,probability_weighted,200000,69530660845,max_dac_liability_over_reserve,3.63797880709e-12,1e-07,True
direct_trade_underperformance,probability_weighted,200000,69530660845,max_dac_liability_settlement_error,7.27595761418e-12,1e-07,True
direct_trade_underperformance,probability_weighted,200000,69530660845,max_dac_principal_reconciliation_error,1.16415321827e-10,1e-07,True
direct_trade_underperformance,probability_weighted,200000,69530660845,max_dac_reserve_reconciliation_error,5.82076609135e-11,1e-07,True
direct_trade_underperformance,probability_weighted,200000,69530660845,max_dac_threshold_reconciliation_error,0,1e-07,True
direct_trade_underperformance,probability_weighted,200000,69530660845,max_dac_waiting_reconciliation_error,0,1e-07,True
direct_trade_underperformance,probability_weighted,200000,69530660845,max_direct_accepted_price_above_wtp,0,1e-07,True
direct_trade_underperformance,probability_weighted,200000,69530660845,max_direct_accepted_price_below_wta,0,1e-07,True
direct_trade_underperformance,probability_weighted,200000,69530660845,max_direct_completion_over_match,0,1e-07,True
direct_trade_underperformance,probability_weighted,200000,69530660845,max_direct_match_over_supply,0,1e-07,True
direct_trade_underperformance,probability_weighted,200000,69530660845,max_direct_match_without_price_compatibility,0,1e-07,True
direct_trade_underperformance,probability_weighted,200000,69530660845,max_direct_offered_over_time_budget,0,1e-07,True
direct_trade_underperformance,probability_weighted,200000,69530660845,max_direct_payment_over_demand,0,1e-07,True
direct_trade_underperformance,probability_weighted,200000,69530660845,max_direct_payment_reconciliation_error,2.91038304567e-11,1e-07,True
direct_trade_underperformance,probability_weighted,200000,69530660845,max_displacement_over_new_cash,0,1e-07,True
direct_trade_underperformance,probability_weighted,200000,69530660845,max_field_cash_reconciliation_error,3.72529029846e-09,1e-05,True
direct_trade_underperformance,probability_weighted,200000,69530660845,max_field_ordinary_reconciliation_error,3.63797880709e-12,1e-05,True
direct_trade_underperformance,probability_weighted,200000,69530660845,max_field_skilled_reconciliation_error,9.09494701773e-13,1e-05,True
direct_trade_underperformance,probability_weighted,200000,69530660845,max_net_cash_reconciliation_error,2.21189111471e-09,1e-07,True
direct_trade_underperformance,probability_weighted,200000,69530660845,max_redirect_classification_reconciliation_error,4.65661287308e-10,1e-07,True
direct_trade_underperformance,probability_weighted,200000,69530660845,max_redirect_principal_reconciliation_error,0,1e-07,True
direct_trade_underperformance,probability_weighted,200000,69530660845,max_redirect_settlement_reconciliation_error,6.98491930962e-10,1e-07,True
strong_network_repeat,conditional,200000,69520760829,max_cash_budget_overage,-172.591414174,1e-07,True
